"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.10000.28","CRBB2","Beta-crystallin B2","CRYBB2","P43320"
"seq.10001.7","c-Raf","RAF proto-oncogene serine/threonine-protein kinase","RAF1","P04049"
"seq.10003.15","ZNF41","Zinc finger protein 41","ZNF41","P51814"
"seq.10006.25","ELK1","ETS domain-containing protein Elk-1","ELK1","P19419"
"seq.10008.43","GUC1A","Guanylyl cyclase-activating protein 1","GUCA1A","P43080"
"seq.10010.10","BECN1","Beclin-1","BECN1","Q14457"
"seq.10011.65","OCRL","Inositol polyphosphate 5-phosphatase OCRL-1","OCRL","Q01968"
"seq.10012.5","SPDEF","SAM pointed domain-containing Ets transcription factor","SPDEF","O95238"
"seq.10014.31","SLUG","Zinc finger protein SNAI2","SNAI2","O43623"
"seq.10015.119","KCAB2","Voltage-gated potassium channel subunit beta-2","KCNAB2","Q13303"
"seq.10022.207","POLH","DNA polymerase eta","POLH","Q9Y253"
"seq.10023.32","VDR","Vitamin D3 receptor","VDR","P11473"
"seq.10024.44","HOGA1","4-hydroxy-2-oxoglutarate aldolase; mitochondrial","HOGA1","Q86XE5"
"seq.10025.1","DLDH","Dihydrolipoyl dehydrogenase; mitochondrial","DLD","P09622"
"seq.10030.8","MutY homolog","Adenine DNA glycosylase","MUTYH","Q9UIF7"
"seq.10035.6","DUS4","Dual specificity protein phosphatase 4","DUSP4","Q13115"
"seq.10036.201","ZHX3","Zinc fingers and homeoboxes protein 3","ZHX3","Q9H4I2"
"seq.10037.98","SIG12:Ig-like V-type 2","Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain; Isoform long","SIGLEC12","Q96PQ1"
"seq.10039.32","PNP","Purine nucleoside phosphorylase","PNP","P00491"
"seq.10040.63","P73L","Tumor protein 63","TP63","Q9H3D4"
"seq.10041.3","HNF4A","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235"
"seq.10042.8","SGK3","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1"
"seq.10043.31","BRD4","Bromodomain-containing protein 4","BRD4","O60885"
"seq.10044.12","WN10A","Protein Wnt-10a","WNT10A","Q9GZT5"
"seq.10045.47","CUL3","Cullin-3","CUL3","Q13618"
"seq.10046.55","cIAP-1","Baculoviral IAP repeat-containing protein 2","BIRC2","Q13490"
"seq.10047.12","NCF-2","Neutrophil cytosol factor 2","NCF2","P19878"
"seq.10048.7","PEBB","Core-binding factor subunit beta","CBFB","Q13951"
"seq.10049.112","TERF1","Telomeric repeat-binding factor 1","TERF1","P54274"
"seq.10054.3","GAN","Gigaxonin","GAN","Q9H2C0"
"seq.10056.5","FOXM1","Forkhead box protein M1","FOXM1","Q08050"
"seq.10058.1","RD23A","UV excision repair protein RAD23 homolog A","RAD23A","P54725"
"seq.10063.10","FANCL","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38"
"seq.10064.12","RBBP9","Putative hydrolase RBBP9","RBBP9","O75884"
"seq.10069.2","PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526"
"seq.10070.22","PLCG2","1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885"
"seq.10073.22","TYDP1","Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8"
"seq.10074.128","BRD2","Bromodomain-containing protein 2","BRD2","P25440"
"seq.10075.75","ACBD6","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61"
"seq.10076.1","AP4M1","AP-4 complex subunit mu-1","AP4M1","O00189"
"seq.10078.5","BAG3","BAG family molecular chaperone regulator 3","BAG3","O95817"
"seq.10080.9","EI2BA","Translation initiation factor eIF-2B subunit alpha","EIF2B1","Q14232"
"seq.10081.17","SATB2","DNA-binding protein SATB2","SATB2","Q9UPW6"
"seq.10082.251","NFL","Neurofilament light polypeptide","NEFL","P07196"
"seq.10085.25","STAR","Steroidogenic acute regulatory protein; mitochondrial","STAR","P49675"
"seq.10086.39","CBS","Cystathionine beta-synthase","CBS","P35520"
"seq.10087.10","Alpha crystallin A chain","Alpha-crystallin A chain","CRYAA","P02489"
"seq.10088.37","APT","Adenine phosphoribosyltransferase","APRT","P07741"
"seq.10089.7","ASML","N-acetylserotonin O-methyltransferase-like protein","ASMTL","O95671"
"seq.10336.3","CHIP","E3 ubiquitin-protein ligase CHIP","STUB1","Q9UNE7"
"seq.10339.48","NSE","Gamma-enolase","ENO2","P09104"
"seq.10342.55","PIAS4","E3 SUMO-protein ligase PIAS4","PIAS4","Q8N2W9"
"seq.10344.334","IL-10 Ra","Interleukin-10 receptor subunit alpha","IL10RA","Q13651"
"seq.10346.5","STAT3","Signal transducer and activator of transcription 3","STAT3","P40763"
"seq.10351.51","IRF1","Interferon regulatory factor 1","IRF1","P10914"
"seq.10354.57","STAT3","Signal transducer and activator of transcription 3","STAT3","P40763"
"seq.10356.21","c-Jun","Transcription factor AP-1","JUN","P05412"
"seq.10361.25","OAS1","2'-5'-oligoadenylate synthase 1","OAS1","P00973"
"seq.10362.35","c-Myc","Myc proto-oncogene protein","MYC","P01106"
"seq.10363.13","SMAD3","Mothers against decapentaplegic homolog 3","SMAD3","P84022"
"seq.10364.6","SMAD2","Mothers against decapentaplegic homolog 2","SMAD2","Q15796"
"seq.10365.132","IL-23","Interleukin-23","IL12B|IL23A","P29460|Q9NPF7"
"seq.10366.11","PDGFRA","Platelet-derived growth factor receptor alpha","PDGFRA","P16234"
"seq.10367.62","IL-12","Interleukin-12","IL12A|IL12B","P29459|P29460"
"seq.10370.21","STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224"
"seq.10372.18","STAT6","Signal transducer and activator of transcription 6","STAT6","P42226"
"seq.10382.1","ANGL3","Angiopoietin-related protein 3","ANGPTL3","Q9Y5C1"
"seq.10390.21","ZNRF3","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6"
"seq.10391.1","ANGL3","Angiopoietin-related protein 3","ANGPTL3","Q9Y5C1"
"seq.10396.6","Mcl-1","Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820"
"seq.10398.110","ANKR1","Ankyrin repeat domain-containing protein 1","ANKRD1","Q15327"
"seq.10418.36","STX12","Syntaxin-12","STX12","Q86Y82"
"seq.10419.1","SCAR5","Scavenger receptor class A member 5","SCARA5","Q6ZMJ2"
"seq.10420.30","FAIM1","Fas apoptotic inhibitory molecule 1","FAIM","Q9NVQ4"
"seq.10424.31","NPDC1","Neural proliferation differentiation and control protein 1","NPDC1","Q9NQX5"
"seq.10425.3","B4GT5","Beta-1;4-galactosyltransferase 5","B4GALT5","O43286"
"seq.10426.21","GOSR2","Golgi SNAP receptor complex member 2","GOSR2","O14653"
"seq.10428.1","KI2S2","Killer cell immunoglobulin-like receptor 2DS2","KIR2DS2","P43631"
"seq.10430.31","4F2:CD","4F2 cell-surface antigen heavy chain:Cytoplasmic domain","SLC3A2","P08195"
"seq.10432.3","K1644","Uncharacterized protein KIAA1644","SHISAL1","Q3SXP7"
"seq.10435.2","ASPG","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","AGA","P20933"
"seq.10438.19","CSF2R","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2RA","P15509"
"seq.10439.57","Alpha-amylase 2B","Alpha-amylase 2B","AMY2B","P19961"
"seq.10440.26","ACAM:ECD","CXADR-like membrane protein:Extracellular domain","CLMP","Q9H6B4"
"seq.10442.1","TM190","Transmembrane protein 190","TMEM190","Q8WZ59"
"seq.10445.20","ApoM","Apolipoprotein M","APOM","O95445"
"seq.10447.18","PABP3","Polyadenylate-binding protein 3","PABPC3","Q9H361"
"seq.10449.31","TMM46","Protein shisa-2 homolog","SHISA2","Q6UWI4"
"seq.10451.11","NUCB1","Nucleobindin-1","NUCB1","Q02818"
"seq.10453.7","CEA20","Carcinoembryonic antigen-related cell adhesion molecule 20","CEACAM20","Q6UY09"
"seq.10454.99","DJC16","DnaJ homolog subfamily C member 16","DNAJC16","Q9Y2G8"
"seq.10455.196","IL-31","Interleukin-31","IL31","Q6EBC2"
"seq.10457.3","IL-18 Rb","Interleukin-18 receptor accessory protein","IL18RAP","O95256"
"seq.10462.14","INSL5","Insulin-like peptide INSL5","INSL5","Q9Y5Q6"
"seq.10463.23","Alkaline phosphatase; intestine","Intestinal-type alkaline phosphatase","ALPI","P09923"
"seq.10464.6","ANTR1","Anthrax toxin receptor 1","ANTXR1","Q9H6X2"
"seq.10472.53","HVEM","Tumor necrosis factor receptor superfamily member 14","TNFRSF14","Q92956"
"seq.10473.2","Trefoil factor 2","Trefoil factor 2","TFF2","Q03403"
"seq.10479.18","MMP-10","Stromelysin-2","MMP10","P09238"
"seq.10480.33","CD59","CD59 glycoprotein","CD59","P13987"
"seq.10485.56","MAGE-4","Melanoma-associated antigen 4","MAGEA4","P43358"
"seq.10490.3","RPN1:CD","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain","RPN1","P04843"
"seq.10496.11","CaCC","Calcium-activated chloride channel regulator 1","CLCA1","A8K7I4"
"seq.10499.1","T106A","Transmembrane protein 106A","TMEM106A","Q96A25"
"seq.10505.12","RNF43","E3 ubiquitin-protein ligase RNF43","RNF43","Q68DV7"
"seq.10506.53","PGRC2","Membrane-associated progesterone receptor component 2","PGRMC2","O15173"
"seq.10507.166","sperm protein 10","Acrosomal protein SP-10","ACRV1","P26436"
"seq.10510.62","SCIMP","SLP adapter and CSK-interacting membrane protein","SCIMP","Q6UWF3"
"seq.10512.13","IL3RB:ECD","Cytokine receptor common subunit beta:Extracellular domain","CSF2RB","P32927"
"seq.10513.13","CSEN","Calsenilin","KCNIP3","Q9Y2W7"
"seq.10514.5","PGD2 synthase","Prostaglandin-H2 D-isomerase","PTGDS","P41222"
