pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
HALLMARK_ADIPOGENESIS,0.907068062827225,0.980662983425414,0.0304180507344859,0.177844565171248,0.762946852067556,97,IDH1|CHCHD10|SCP2|LAMA4|PEX14|APOE|CAVIN1|PPARG|GPX3|COQ5|ANGPTL4|C3|RMDN3|COQ9|STAT5A|SCARB1|ME1|FAH|NMT1|ALDOA|ECH1,Hallmark
HALLMARK_ALLOGRAFT_REJECTION,0.421794871794872,0.731905665492003,0.0652353056017703,0.229050833921632,1.02942907957014,135,TLR1|CD80|HCLS1|IFNG|ITGB2|NCF4|UBE2D1|WAS|ITGAL|CD3E|HIF1A|HLA-E|CD8B|PSMB10|TGFB1|NPM1|RPS19|IL12RB1|IL4|MMP9|INHBB|IRF8|WARS1|LCK|TNF|RPS3A|IL18RAP|CXCL13|ELANE|B2M|STAT1|ACVR2A|DYRK3|EIF3J|IFNGR2|CCL7|LIF|C2|INHBA|NCR1|IRF4,Hallmark
HALLMARK_ANDROGEN_RESPONSE,0.968162083936324,0.980662983425414,0.0321428397352941,0.172042770381916,0.660968870392578,51,SORD|HMGCS1|SPDEF|ALDH1A3|RAB4A|ZBTB10|SGK1|PDLIM5|B2M|PA2G4|KLK3|XRCC6|INPP4B|B4GALT1,Hallmark
HALLMARK_ANGIOGENESIS,0.0584456602205628,0.257363497793708,0.321775918075361,-0.387817366956664,-1.44628805485495,27,TNFRSF21|LUM|POSTN|JAG1|TIMP1|PRG2|CXCL6|FSTL1|S100A4|NRP1,Hallmark
HALLMARK_APICAL_JUNCTION,0.0974347458395704,0.374749022459886,0.287805130535564,-0.240617083520347,-1.21678038576654,116,ADAM23|MMP2|CADM2|CTNNA1|NEGR1|NECTIN4|TMEM8B|SYK|CNTN1|ICAM5|AMIGO2|MSN|SLIT2|CD209|RASA1|CD86|JUP|EGFR|TNFRSF11B|CDH1|ICAM2|THBS3|NLGN3|DSC3|PTEN|AMIGO1,Hallmark
HALLMARK_APICAL_SURFACE,0.16260162601626,0.580720092915215,0.181383128498408,-0.33841551155487,-1.23112237499002,25,NTNG1|EFNA5|TMEM8B|EPHB4|GAS1|MDGA1|IL2RB,Hallmark
HALLMARK_APOPTOSIS,0.453781512605042,0.731905665492003,0.131457611642763,-0.205067852608531,-1.00299463721611,97,LUM|MMP2|CASP4|FAS|GSN|TGFBR3|TIMP1|CD44|TIMP2|SAT1|ERBB3|BGN|GSTM1|BCL10|ATF3|BCAP31|F2|PDGFRB|CREBBP|CD38|LGALS3,Hallmark
HALLMARK_BILE_ACID_METABOLISM,0.198830409356725,0.600686498855835,0.115240003147781,0.326129540647667,1.1816537142154,39,IDH1|ALDH1A1|SCP2|RBP1|PFKM|PECR|HACL1|SULT1B1|BCAR3|LCK,Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.54093567251462,0.792859279944151,0.0596037042575973,0.262014862068039,0.949349250385204,39,LGMN|HMGCS1|SEMA3B|ACSS2|PMVK|PPARG|ALDOC|CLU|ECH1|PLAUR|CTNNB1|MVK,Hallmark
HALLMARK_COAGULATION,0.0617672394704899,0.257363497793708,0.321775918075361,-0.260247021700672,-1.27344717600779,99,COMP|MMP2|CAPN2|KLK8|GSN|DCT|PROC|C1R|TIMP1|A2M|CTSH|APOA1|F3|F13B|PLG|CPQ|DPP4|C1S|ITIH1|CD9|MSRB2,Hallmark
