pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
HALLMARK_ADIPOGENESIS,0.357522123893805,0.541700187717887,0.0908241419007155,0.251387876766397,1.05126195972441,97,NKIRAS1|PHYH|PGM1|MRAP|TANK|UBC|AK2|APLP2|SAMM50|LPL|CDKN2C|ITSN1|ATP5PO|SOD1|CMPK1|CRAT|PRDX3|SDHB|ACLY|BCL6|C3|G3BP2|TKT|RMDN3,Hallmark
HALLMARK_ALLOGRAFT_REJECTION,0.295169946332737,0.502796452177843,0.102821842840815,0.245870756118115,1.08601172641762,135,TGFB1|GALNT1|TIMP1|FLNA|LY86|IL6|NCK1|MMP9|MAP4K1|TRAT1|PTPN6|STAT1|GCNT1|GBP2|PF4|MBL2|CD79A|CCL7|IL2|JAK2|ELANE|SPI1|IL4|CCL2|EREG|IFNG|IL15|IKBKB|PSMB10|ST8SIA4|GZMB|IL12RB1|HCLS1|CSK|HLA-G|IL11|IL2RG|FASLG|NPM1|TLR2|IL7|CD80|IL13|TNF|IL9|UBE2N,Hallmark
HALLMARK_ANDROGEN_RESPONSE,0.0661896243291592,0.254575478189074,0.234392647294686,0.358814999132188,1.35070266070385,51,KRT19|TNFAIP8|MYL12A|FKBP5|PTK2B|HOMER2|DBI|ACTN1|HPGD|VAPA|UBE2I|GNAI3|PMEPA1|PDLIM5|ELL2|SAT1,Hallmark
HALLMARK_ANGIOGENESIS,0.280172413793103,0.502796452177843,0.118287526124085,-0.337023049395075,-1.12251672356284,27,LUM|POSTN|TNFRSF21|JAG1|SERPINA5|COL3A1,Hallmark
HALLMARK_APICAL_JUNCTION,0.227790432801822,0.480874316939891,0.137250779610133,-0.25257717861638,-1.12158560226269,116,THBS3|MMP2|NEGR1|CD209|ADAM23|ICAM2|CDH1|CADM2|SLIT2|CNTN1|THY1|ICAM5|CADM3|TGFBI|TNFRSF11B|NLGN2|AMIGO1|LAMA3|CTNNA1|NECTIN1|CDH11|ADAM9|AMIGO2|B4GALT1|EGFR|NFASC|MPZL2|BMP1|SLC30A3|FSCN1|HADH|PARVA|AKT3,Hallmark
HALLMARK_APICAL_SURFACE,0.00309810034652713,0.0258175028877261,0.431707695803346,-0.563090260588825,-1.83027428820278,25,MDGA1|EFNA5|GAS1|PCSK9|NTNG1|THY1|GHRL|SCUBE1|EPHB4|IL2RB|RTN4RL1|B4GALT1|LYPD3,Hallmark
HALLMARK_APOPTOSIS,0.704805491990847,0.83905415713196,0.0684714904492088,-0.207291884551028,-0.895411474026408,97,LUM|GSN|MMP2|TGFBR3|TIMP2|FAS|IGFBP6|ERBB3|PDGFRB|PPT1|SQSTM1,Hallmark
HALLMARK_BILE_ACID_METABOLISM,0.741860465116279,0.843023255813954,0.0667426134241917,-0.236338228821449,-0.84952872986791,39,BMP6|IDH1|APOA1|SCP2|GC|RBP1|IDI1,Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.234883720930233,0.480874316939891,0.136490437780413,-0.319989841608194,-1.15021833356217,39,ANTXR2|HMGCS1|ALDOC|JAG1|ALCAM|CXCL16|ACAT2|IDI1|MVK|ACSS2|LGALS3|ETHE1,Hallmark
HALLMARK_COAGULATION,0.0355910926078521,0.161777693672055,0.321775918075361,-0.311548513954705,-1.35684190034936,99,COMP|GSN|MMP2|LEFTY2|APOC1|KLK8|MMP7|SERPINC1|DCT|CTSE|CFD|APOA1|CTSO|CTSB|HRG|APOC2|CPQ|MST1|PLAU|CTSV|F13B|ADAM9|CRIP2|TMPRSS6|MMP10|LRP1|KLKB1,Hallmark
HALLMARK_COMPLEMENT,0.165467625899281,0.413669064748201,0.143758989039275,0.260789056764731,1.15438512931954,136,CASP10|RHOG|HSPA1A|C9|TIMP1|LGMN|MMP13|FCN1|IL6|ACTN2|CP|PLA2G4A|EHD1|DPP4|ATOX1|CTSC|USP8|MMP8|DUSP6|PLEK|VCPIP1|GRB2|PRSS3|PFN1|STX4|GP1BA|PSMB9|GZMK|CPM|GCA|GNAI3|CLU|JAK2,Hallmark
HALLMARK_DNA_REPAIR,0.162587412587413,0.413669064748201,0.142901149386948,0.304222762631438,1.19540468323577,64,CETN2|IMPDH2|RALA|SURF1|STX3|NUDT9|SRSF6|TSG101|SMAD5|NUDT21|TARBP2|TK2|NELFE|DUT|ERCC4|HCLS1|NT5C3A|HPRT1|GTF2A2|GUK1|CDA|ADRM1|GTF2B,Hallmark
HALLMARK_E2F_TARGETS,0.311733800350263,0.502796452177843,0.0982123351217438,0.255275989913394,1.06693048759219,94,PSMC3IP|AK2|ASF1B|CDKN2C|HMGB2|SLBP|TMPO|TACC3|STMN1|PSIP1|SMC3|NUDT21|CDC25A|TRA2B|DUT|EXOSC8|DSCC1|DCK|PAICS|MCM6|MYC|HMGB3|LMNB1|BRMS1L|EED|RANBP1|MSH2|CHEK1|ILF3|AURKA|CCNE1|JPT1|PMS2|CNOT9|RACGAP1|KIF22|NME1|PLK1|SSRP1|UNG|RAD51C|MAD2L1|ASF1A|CTCF|RRM2|GINS1,Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.274171969724e-07,6.37085984862e-06,0.690132458796796,-0.460138131188801,-2.11404488704652,140,COMP|LUM|SFRP4|NTM|COL5A1|FMOD|MMP2|LRRC15|MFAP5|TGFBR3|POSTN|FBLN1|COL6A3|MATN2|CTHRC1|PLOD2|FZD8|PCOLCE|FAP|COL1A1|GAS1|EDIL3|PCOLCE2|INHBA|ANPEP|FAS|CADM1|NOTCH2|CRLF1|PRRX1|MGP|SLIT2|THY1|COL6A2|PDGFRB|COL3A1|ECM1|TGFBI|DPYSL3|TNC|TNFRSF11B|THBS2|IGFBP4|LAMA3|CDH11|PDLIM4|CD59|BGN,Hallmark
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.595936794582393,0.726752188515113,0.0762797180809272,-0.223808753114981,-0.940087191196257,78,OLFML3|KLK10|CCN5|NBL1|IL6ST|IGF1R|INHBB|CLIC3|IGFBP4|GLA|CANT1,Hallmark
