pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
HALLMARK_ADIPOGENESIS,0.560344827586207,0.983446626384693,0.0928481214159878,-0.194342521001914,-0.954206874530628,97,CDKN2C|UBC|YWHAG|NKIRAS1|SPARCL1|CMPK1|MRAP|TANK|ARAF|PHYH|SAMM50|CD36|LPL|TKT|PGM1|SDHB|ACLY|APLP2|ATP5PO|BCL6,Hallmark
HALLMARK_ALLOGRAFT_REJECTION,0.820754716981132,0.983446626384693,0.0768736734126542,-0.167163102077643,-0.863256306971766,135,FLNA|ST8SIA4|CD79A|GZMA|IL2|GALNT1|IL15|EREG|MAP4K1|IKBKB|UBE2N|CD86|CD96|PTPN6|F2|JAK2|FCGR2B|HLA-G|CCL2|FASLG|IL13|TLR2|GBP2|BCL10|TGFB1|LY86|TLR3|IL9|TIMP1|CD3G,Hallmark
HALLMARK_ANDROGEN_RESPONSE,0.338624338624339,0.887934121016828,0.119348440591015,-0.250063684836989,-1.06848249283627,51,ELL2|GNAI3|TNFAIP8|ELK4|SAT1|FKBP5|LMAN1|HOMER2|UBE2I|MYL12A,Hallmark
HALLMARK_ANGIOGENESIS,0.266203703703704,0.887934121016828,0.126875729929857,-0.306423565373177,-1.12478280093714,27,S100A4|LPL|PRG2|JAG1|TNFRSF21|TIMP1|PGLYRP1|FSTL1|VCAN|CXCL6|LRPAP1|POSTN|NRP1,Hallmark
HALLMARK_APICAL_JUNCTION,0.479041916167665,0.983446626384693,0.104732821580651,-0.196679784310734,-0.99126281244546,116,TMEM8B|AKT2|CNN2|SYK|MSN|CTNNA1|SHC1|NECTIN4|STX4|RASA1|BAIAP2|AMH|PTEN|YWHAH|MYL9|CD86|ADAM23|JUP|CNTN1|AMIGO2|JAM3|WASL|CALB2|ICAM5|CDH4|MADCAM1|EGFR|DSC3|CADM2|MPZL1|ICAM2|ACTN1|VCAN|CRAT|NLGN3|PALS1|VCL|VWF|MMP2|IKBKG|TJP1,Hallmark
HALLMARK_APICAL_SURFACE,0.848275862068966,0.983446626384693,0.0464154956843849,0.227537842283261,0.762250528076776,25,PCSK9|AKAP7|GHRL|B4GALT1|PLAUR|THY1|LYPD3,Hallmark
HALLMARK_APOPTOSIS,0.933908045977011,0.983446626384693,0.0658311958368866,-0.157442087443399,-0.773028575550194,97,CASP4|CREBBP|SAT1|EREG|CD38|BCAP31|GSTM1|F2|GSN|IFNB1|ATF3|DCN|FASLG|BCL2L2|BCL10|ENO2|BID|TIMP1|PEA15|CASP3|FAS|HMGB2,Hallmark
HALLMARK_BILE_ACID_METABOLISM,0.362295081967213,0.887934121016828,0.0857844408075645,0.281782476191355,1.05901165727359,39,IDH1|SCP2|RBP1|ALDH1A1|HACL1|PFKM|PECR|BCAR3|NUDT12|GC|IDI1|LCK,Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.350819672131148,0.887934121016828,0.0875697115548511,0.282805674881443,1.06285710343176,39,LGMN|ANTXR2|HMGCS1|ALDOC|ACSS2|PMVK|SEMA3B|PPARG|PLAUR|MVK|IDI1|ECH1|CLU|CTNNB1,Hallmark
HALLMARK_COAGULATION,0.817663817663818,0.983446626384693,0.072003313661988,-0.176122120288782,-0.868021203445182,99,PROC|CAPN2|DPP4|PLG|C1R|A2M|CTSH|DUSP6|HNF4A|PLEK|F3|ITIH1|F2|GSN|CD9|C1S|GP1BA|TIMP1|USP11|MSRB2|DCT|SIRT2|FN1|FYN|CPN1|APOA1|CPQ|FGG|KLK8|VWF|MMP2,Hallmark
