"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.8859.51","CA11","CAH11","Carbonic anhydrase-related protein 11","O75493",-1.14762581974135,10.2042413357837,-7.85570142301702,5.39983825655767e-09,3.74694776622537e-05,10.4362045089631
"seq.9844.138","ACTN2","ACTN2","Alpha-actinin-2","P35609",2.00330873189182,10.5008097420855,7.33197471037421,2.30527968642426e-08,7.99816787204897e-05,9.10063498522952
"seq.13122.19","FLRT2","FLRT2","Leucine-rich repeat transmembrane protein FLRT2","O43155",-0.854886568997404,13.342822210519,-6.77262961868717,1.08867515014083e-07,0.000251810562227575,7.66268990308391
"seq.3232.28","ACP5","TrATPase","Tartrate-resistant acid phosphatase type 5","P13686",1.43491258157665,10.9715068205335,6.65727300598674,1.56057692019337e-07,0.000270721081230545,7.3296126659976
"seq.9259.35","TNFRSF21","DR6","Tumor necrosis factor receptor superfamily member 21","O75509",-0.878858875059834,12.3241513365608,-6.51263742433505,2.29993658606955e-07,0.000307472938019636,6.96781915067992
"seq.4568.17","SLITRK5","SLIK5","SLIT and NTRK-like protein 5","O94991",-0.819428435153707,11.0503985176266,-6.43806109892522,2.8676666288843e-07,0.000307472938019636,6.76284774186342
"seq.3041.55","MRC2","MRC2","C-type mannose receptor 2","Q9UBG0",-0.875635081274803,11.778473089693,-6.40918323634595,3.10175899428946e-07,0.000307472938019636,6.68955845441754
"seq.15381.45","DDR2","Discoidin domain receptor 2","Discoidin domain-containing receptor 2","Q16832",-0.730337489506521,9.77307130142445,-6.27171346336908,4.71578637626383e-07,0.000375871384802734,6.30061704351598
"seq.8043.153","COMP","COMP","Cartilage oligomeric matrix protein","P49747",-0.842449780518253,9.65092871331486,-6.26191828948029,4.87511523738955e-07,0.000375871384802734,6.26994303602467
"seq.18338.26","IDH1","IDH","Isocitrate dehydrogenase [NADP] cytoplasmic","O75874",1.72272427954535,10.9549706351215,6.1969965713816,5.88404514963548e-07,0.000402279097513215,6.09468183607643
"seq.13114.50","LUM","Lumican","Lumican","P51884",-0.771906944675585,12.432993844588,-6.15172463819235,6.55001959388903e-07,0.000402279097513215,5.99327111283739
"seq.9715.15","IGSF3","IGSF3","Immunoglobulin superfamily member 3","O75054",-0.665705722311294,8.9972151667483,-6.13472915379457,6.99779171201633e-07,0.000402279097513215,5.9326522893092
"seq.22563.4","KIRREL1","KIRR1","Kin of IRRE-like protein 1","Q96J84",-0.481706795826073,9.9249639862526,-6.10355626721419,7.5365733789765e-07,0.000402279097513215,5.86246342765049
"seq.2590.69","ROR1","ROR1","Inactive tyrosine-protein kinase transmembrane receptor ROR1","Q01973",-1.0077146276597,14.2305902799955,-6.059559026205,8.56794300497591e-07,0.000424663975082342,5.7428509219492
"seq.7049.2","ADAM23","ADAM 23","Disintegrin and metalloproteinase domain-containing protein 23","O75077",-0.873282244219308,11.2556206570918,-5.97634594149459,1.10539350742533e-06,0.000511355036534959,5.50599311534068
"seq.6367.66","FMOD","fibromodulin","fibromodulin","Q06828",-1.03825293391435,13.6042472796229,-5.83432500758411,1.65452378335971e-06,0.000717546283295814,5.12875236764855
"seq.18295.102","GRHPR","GRHPR","Glyoxylate reductase/hydroxypyruvate reductase","Q9UBQ7",-0.511644873320513,11.3030440721786,-5.78960275199811,1.8858487501086e-06,0.000769759086882564,5.00655905584129
"seq.9177.6","FAM3B","FAM3B","Protein FAM3B","P58499",-1.0270740071876,13.7932875322835,-5.75091455180814,2.11215114624044e-06,0.000793563593982094,4.90072865715095
"seq.5404.53","TNFRSF21","DR6","Tumor necrosis factor receptor superfamily member 21","O75509",-0.663480377784078,12.3853709287591,-5.73851696851153,2.19018424757851e-06,0.000793563593982094,4.86684380879244
"seq.16890.37","ADAMTSL1","ATL1","ADAMTS-like protein 1","Q8N6G6",-0.890692453884533,12.6455046406671,-5.72371353233702,2.2872563596544e-06,0.000793563593982094,4.82633954586614
"seq.11241.8","ASL","ARLY","Argininosuccinate lyase","P04424",1.83001862437622,10.1169172662595,5.69103516271612,2.56782943561761e-06,0.000848484212083361,4.71982388569902
"seq.23414.12","ZNF483","ZN483","Zinc finger protein 483","Q8TF39",-0.684176780751894,11.2571342678878,-5.62777217451786,3.02997623792173e-06,0.000915133985405191,4.56365844118555
"seq.16323.8","NRXN3","NRX3A","Neurexin-3","Q9Y4C0",-0.66240186462805,12.1015333423165,-5.61438489342613,3.15128123740872e-06,0.000915133985405191,4.5269839687134
"seq.5111.15","NRXN3","NRX3B","Neurexin-3-beta","Q9HDB5",-0.677808767903596,11.3294828823979,-5.59211197587834,3.36398269580542e-06,0.000915133985405191,4.46595750569008
"seq.11200.52","CD93","C1QR1","Complement component C1q receptor","Q9NPY3",-0.54995411164489,12.1398914224918,-5.59035489943519,3.38136237576864e-06,0.000915133985405191,4.46114272610767
"seq.5080.131","GPNMB","GPNMB:ECD","Transmembrane glycoprotein NMB:Extracellular domain","Q14956",-0.752559892775656,11.7411413244944,-5.58558974227345,3.42894993810851e-06,0.000915133985405191,4.44808478707939
"seq.3457.57","POSTN","Periostin","Periostin","Q15063",-0.768277796644146,10.5608644420591,-5.54035245391753,3.98304819075867e-06,0.000976283049709365,4.30955909600228
"seq.13042.7","KCNA10","KCA10","Potassium voltage-gated channel subfamily A member 10","Q16322",-1.11512100163955,13.5800423856867,-5.52553656423877,4.12717238456898e-06,0.000976283049709365,4.27568041633256
"seq.6022.57","NELL2","NELL2","Protein kinase C-binding protein NELL2","Q99435",-0.465464999309456,10.4393413237964,-5.51626711483127,4.2021839041313e-06,0.000976283049709365,4.25806860279383
"seq.21397.21","PRTG","PRTG","Protogenin","Q2VWP7",-0.746914770418597,11.3950688971805,-5.50950734106952,4.30024842352077e-06,0.000976283049709365,4.23678811837425
"seq.4160.49","MMP2","MMP-2","72 kDa type IV collagenase","P08253",-0.675662489406703,13.9664014896345,-5.5035801631434,4.36154698674021e-06,0.000976283049709365,4.22328412683213
"seq.9187.2","HMGN1","HMGN1","Non-histone chromosomal protein HMG-14","P05114",0.603118065292756,10.0340807419347,5.46247964487512,4.96771353647285e-06,0.00107721763217453,4.10250404137964
"seq.10576.7","PLXDC2","PXDC2:ECD","Plexin domain-containing protein 2:Extracellular domain","Q6UX71",-0.433407130011101,9.63131770563887,-5.41343166849538,5.68227397155899e-06,0.00119401272553822,3.97606527848872
"seq.4246.40","L1CAM","NCAM-L1","Neural cell adhesion molecule L1","P32004",-1.02125464002191,12.5704496216096,-5.40673421587649,5.85047307512603e-06,0.00119401272553822,3.94965700092244
"seq.25281.50","DPP8","DPP8","Dipeptidyl peptidase 8","Q6V1X1",-0.477541572769351,12.1412973314376,-5.38020728265037,6.26419813869744e-06,0.00124192202526919,3.88493789228564
"seq.10748.216","PCDHB2","PCDB2","Protocadherin beta-2","Q9Y5E7",-1.3836119862249,10.7014846148248,-5.36183327188705,6.72577433759859e-06,0.00127772983771136,3.82006509944153
"seq.25121.7","NOMO2","NOMO2","Nodal modulator 2","Q5JPE7",0.633766178990978,9.70818261744163,5.35716503355816,6.81308603477739e-06,0.00127772983771136,3.80793911167866
"seq.22587.37","EPHA6","EPHA6","Ephrin type-A receptor 6","Q9UF33",-0.908707347951626,13.1518777317422,-5.26760716584168,8.71683863266486e-06,0.00159174061242267,3.57610968716278
"seq.5691.2","CRISPLD2","CRLD2","Cysteine-rich secretory protein LCCL domain-containing 2","Q9H0B8",1.61363883595548,11.0074736787773,5.25057978793016,9.31371811230044e-06,0.00162600791368636,3.51577928009552
"seq.17736.105","APTX","APTX","Aprataxin","Q7Z2E3",-0.789157198650383,11.4388423373414,-5.24579443139343,9.37315413567582e-06,0.00162600791368636,3.50909115345
"seq.3325.2","MATN2","MATN2","Matrilin-2","O00339",-0.635164228895347,13.0293184875282,-5.22816323810209,9.78618064217901e-06,0.00163166138936602,3.46795056381143
"seq.13568.30","PSMD4","PSMD4","26S proteasome non-ATPase regulatory subunit 4","P55036",-0.555729203998887,10.1953084439687,-5.22641488155421,9.87603089110431e-06,0.00163166138936602,3.45980066752059
"seq.9302.90","GADD45GIP1","G45IP","Growth arrest and DNA damage-inducible proteins-interacting protein 1","Q8TAE8",-0.379836357680563,8.99754562557175,-5.19789619617689,1.06947019519151e-05,0.00172140598800819,3.38497084244922
"seq.12891.1","MICALL2","MILK2","MICAL-like protein 2","Q8IY33",-0.573930554031307,12.6655492497525,-5.19093192398032,1.0915386002646e-05,0.00172140598800819,3.3658799662535
"seq.7215.18","CYB5R3","NADH-cytochrome b5 reductase","NADH-cytochrome b5 reductase 3","P00387",-0.71944218242464,11.5652353577075,-5.15247788888283,1.22431280288362e-05,0.00185201095598807,3.25879338185725
"seq.6462.12","TIMP4","TIMP-4","Metalloproteinase inhibitor 4","Q99727",0.890003945072198,11.4851786307943,5.15093435456394,1.24652923432155e-05,0.00185201095598807,3.24335110157554
"seq.16907.3","CADM2","Nectin-like protein 3","Cell adhesion molecule 2","Q8N3J6",-0.583303884539147,10.7957442262785,-5.13087911595923,1.3016988813634e-05,0.00185201095598807,3.20130260568976
"seq.8240.207","GPNMB","GPNMB:ECD","Transmembrane glycoprotein NMB:Extracellular domain","Q14956",-0.66705777435231,12.9046818589813,-5.12470281177611,1.32548069975977e-05,0.00185201095598807,3.18438112489964
"seq.12895.28","DGKB","DGKB","Diacylglycerol kinase beta","Q9Y6T7",-0.571188709354754,10.7988248829108,-5.12351933688324,1.33008687684563e-05,0.00185201095598807,3.18113882592079
"seq.23311.19","RPP25","RPP25","Ribonuclease P protein subunit p25","Q9BUL9",-1.90784182249239,12.6707668172932,-5.12761244525876,1.33449413171068e-05,0.00185201095598807,3.1796171281377
"seq.7933.75","ADAM22","ADA22","Disintegrin and metalloproteinase domain-containing protein 22","Q9P0K1",-0.705628516608925,12.7492849796463,-5.09617783993753,1.44106006769253e-05,0.0019606893744546,3.10624389996
"seq.6431.68","PCYOX1","PCYOX","Prenylcysteine oxidase 1","Q9UHG3",0.996364070118558,9.73002294267509,5.08480893003641,1.51235514562446e-05,0.00199024101737418,3.06268031371008
"seq.5687.5","PRKCSH","GLU2B","Glucosidase 2 subunit beta","P14314",-0.681951722547428,13.2589303986987,-5.07193144396443,1.54716559609095e-05,0.00199024101737418,3.03984620180665
"seq.23296.29","SFRP5","SARP-3","SARP-3","Q5T4F7",0.843398525626977,10.9188540912432,5.07450983547316,1.55856470894661e-05,0.00199024101737418,3.03455162578627
"seq.3622.33","LGMN","LGMN","Legumain","Q99538",1.25003347613342,11.1314618744265,5.07037555039333,1.57750765175933e-05,0.00199024101737418,3.02326107318414
"seq.21507.48","COMMD8","COMD8","COMM domain-containing protein 8","Q9NX08",-1.42672680762131,11.8799310473897,-5.05851341304738,1.63314203874268e-05,0.00202363796550633,2.99086914125528
"seq.4541.49","CDON","CDON","Cell adhesion molecule-related/down-regulated by oncogenes","Q4KMG0",-0.708286178047139,12.8900590118918,-5.03179959710346,1.74015844553429e-05,0.00208265723890549,2.92999095907664
