"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.11696.7","CRABP2","RABP2","Cellular retinoic acid-binding protein 2","P29373",-1.40707166158329,13.8322427123694,-11.1170239464346,7.77003323928514e-14,5.39162606473996e-10,21.084396956233
"seq.8043.153","COMP","COMP","Cartilage oligomeric matrix protein","P49747",-0.944751638025433,9.79263418306323,-10.6514945988429,2.88636831954237e-13,1.00142548846522e-09,19.8594647584874
"seq.3340.53","THBS4","TSP4","Thrombospondin-4","P35443",-1.42458882247907,14.0390631626106,-9.9358910794233,2.22507561639934e-12,5.14659990073167e-09,17.9427167688689
"seq.13114.50","LUM","Lumican","Lumican","P51884",-0.72280546287956,12.4891791126587,-9.21450671476947,1.79097293368875e-11,3.10689029671656e-08,15.9728325492779
"seq.8982.65","THBS3","TSP3","Thrombospondin-3","P49746",-1.12194154901984,12.2423434589653,-9.04736488033188,3.07772617523692e-11,4.2712683859938e-08,15.4605541056537
"seq.3041.55","MRC2","MRC2","C-type mannose receptor 2","Q9UBG0",-0.749340640069859,11.8083788970447,-8.93041777904762,4.27133474620002e-11,4.83088471304622e-08,15.1491629981347
"seq.15559.5","ANTXR2","ANTR2","Anthrax toxin receptor 2","P58335",-1.18108892147886,11.8700048420403,-8.89522754614516,4.87335249910989e-11,4.83088471304622e-08,15.0246061012547
"seq.17685.9","APOA4","Apo A-IV","Apolipoprotein A-IV","P06727",-2.02119068884764,14.3398016216707,-8.17803707878399,4.40997174461376e-10,3.82509924198436e-07,12.9293240906131
"seq.9284.25","SFRP4","SFRP4","Secreted frizzled-related protein 4","Q6FHJ7",-0.713280197204368,10.9222319362956,-8.03261343754304,6.9403765504736e-10,5.35103032041515e-07,12.4968644558469
"seq.17447.52","SFRP4","SFRP4","Secreted frizzled-related protein 4","Q6FHJ7",-1.20233723212174,12.7978610796064,-7.85724536014249,1.20259120181573e-09,8.34478034939934e-07,11.9722177610538
"seq.10464.6","ANTXR1","ANTR1","Anthrax toxin receptor 1","Q9H6X2",-0.422151704300644,10.8148545836486,-7.70887274523707,1.86738162533168e-09,1.17797828165241e-06,11.5506801039277
