AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.11278.4,Collagen alpha-2(XI) chain,COL11A2,P13942,1.390773093,11.44624901,3.60942591,0.001860947,0.982436854,-3.459590696
seq.6296.36,Oncoprotein-induced transcript 3 protein,OIT3,Q8WWZ8,-0.918573813,10.61619878,-3.450698087,0.002669763,0.982436854,-3.533755282
seq.9923.6,Son of sevenless homolog 1,SOS1,Q07889,0.42796175,9.222953175,3.41642026,0.002885506,0.982436854,-3.549947945
seq.22946.55,Alpha-1-syntrophin,Alpha-1-syntrophin,Q13424,0.281392891,10.11708948,3.361964402,0.003264013,0.982436854,-3.575791599
seq.10605.22,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,0.395550375,8.189474524,3.330488292,0.003504616,0.982436854,-3.590793205
seq.23285.51,BTB/POZ domain-containing protein KCTD2,KCTD2,Q14681,0.387499744,9.408478284,3.320713129,0.003582818,0.982436854,-3.59546121
seq.5699.19,Protein FAM189A2,CI061,Q15884,1.031592224,12.56805811,3.282046255,0.003909277,0.982436854,-3.613967056
seq.8299.66,Leukocyte immunoglobulin-like receptor subfamily A member 4,LIRA4,P59901,0.436328163,11.25866345,3.236471801,0.004331577,0.982436854,-3.635859223
seq.6544.33,Protein kinase C-binding protein NELL1,NELL1,Q92832,0.657027015,11.44046488,3.149806383,0.005261082,0.982436854,-3.677709253
seq.21355.4,Upstream stimulatory factor 1,USF1,P22415,-1.205984672,11.26627505,-3.044576513,0.006652996,0.982436854,-3.72885662
seq.5363.51,Semaphorin-3E,Semaphorin 3E,O15041,0.287579009,10.80056737,3.043926365,0.006662619,0.982436854,-3.729173604
seq.22560.1,Protein EVI2A,EVI2A,P22794,-2.331393507,12.39029123,-3.041752849,0.006694887,0.982436854,-3.730233394
seq.21435.143,Serine/threonine-protein kinase SRPK2,SRPK2,P78362,1.095947587,11.28163316,3.018375981,0.007051655,0.982436854,-3.741639247
seq.10704.91,Lymphoid-restricted membrane protein,LRMP,Q12912,0.483843658,7.812312085,3.016187743,0.007085978,0.982436854,-3.742707594
seq.6997.32,Ras-related protein Rab-26,RAB26,Q9ULW5,0.285546646,10.9477554,2.989726894,0.007514045,0.982436854,-3.755635079
seq.8358.30,Thioredoxin-dependent peroxide reductase; mitochondrial,Peroxiredoxin-3,P30048,-0.680382463,11.65172291,-2.908004438,0.008999781,0.982436854,-3.795649065
seq.10741.22,Macrophage colony-stimulating factor 1,CSF-1,P09603,-0.723248653,7.563328847,-2.869373022,0.009797072,0.982436854,-3.814601288
seq.8660.5,Olfactomedin-like protein 3,OLFL3,Q9NRN5,0.629339319,12.65946254,2.866375625,0.009861696,0.982436854,-3.816072557
seq.12800.5,Tubulin polymerization-promoting protein family member 2,TPPP2,P59282,0.578152492,11.63886562,2.862844561,0.009938351,0.982436854,-3.817805904
seq.15559.5,Anthrax toxin receptor 2,ANTR2,P58335,0.942183025,11.27946038,2.862618314,0.009943282,0.982436854,-3.81791697
seq.8851.42,Protein FAM171B:Extracellular domain,F171B:ECD,Q6P995,0.213045565,9.824465774,2.851199976,0.010195221,0.982436854,-3.823522989
seq.21328.2,Synaptotagmin-1,SYT1,P21579,0.340196213,9.653434357,2.850871951,0.010202548,0.982436854,-3.823684058
seq.11318.20,Apolipoprotein A-V,Apo A-V,Q6Q788,1.158206864,11.27884674,2.831436218,0.010645849,0.982436854,-3.833229252
seq.12446.49,Glutathione S-transferase A1,GST A1-1,P08263,-0.584469807,12.28695602,-2.772745423,0.012099387,0.982436854,-3.862068685
seq.4840.73,Granulocyte colony-stimulating factor,G-CSF,P09919,0.874896554,10.90774284,2.770255888,0.012165063,0.982436854,-3.863292314
seq.9242.11,Betacellulin,BTC,P35070,0.59646287,10.87733507,2.75962811,0.012449284,0.982436854,-3.868516101
seq.12574.36,Endothelin-2,Endothelin 2,P20800,0.999576453,10.7032906,2.758929791,0.012468179,0.982436854,-3.868859347
seq.9388.18,Methylmalonyl-CoA epimerase; mitochondrial,MCEE,Q96PE7,0.624933776,11.73549881,2.756046597,0.012546486,0.982436854,-3.870276531
seq.5719.66,Protein FAM189A2,CI061,Q15884,0.292099113,10.82010981,2.711070492,0.013830497,0.982436854,-3.892383239
seq.11140.56,Collagen alpha-1(I) chain:C-term propeptide,CO1A1:C-term propeptide,P02452,0.663625736,10.78004386,2.698460837,0.014212388,0.982436854,-3.898580256
