"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.18338.26","IDH1","IDH","Isocitrate dehydrogenase [NADP] cytoplasmic","O75874",2.51374355800517,11.2557742894699,8.75635523032069,3.68084762782864e-10,1.43363933353786e-06,13.1184548399515
"seq.8866.53","QPCTL","QPCTL","Glutaminyl-peptide cyclotransferase-like protein","Q9NXS2",1.12516955948857,11.6138066090434,8.69581010264971,4.1321208633459e-10,1.43363933353786e-06,13.0085320246551
"seq.21247.16","MAT1A","METK1","S-adenosylmethionine synthase isoform type-1","Q00266",-2.07613904369939,10.2074508857874,-8.51551220972211,7.0554861790895e-10,1.6319339532234e-06,12.5053151658141
"seq.15364.101","APOC1","Apo C-I","Apolipoprotein C-I","P02654",4.58777909701659,15.4233406445227,7.96083516578787,3.24534742243885e-09,4.74720543063609e-06,11.0624150550997
"seq.6431.68","PCYOX1","PCYOX","Prenylcysteine oxidase 1","Q9UHG3",1.44890521378676,10.045380602071,7.94194923594939,3.42066971511464e-09,4.74720543063609e-06,11.0125539758968
"seq.15303.63","S100A5","S100A5","Protein S100-A5","P33763",-1.4218965118501,12.5193277844382,-7.84454084377092,4.44147012013038e-09,5.13656019393079e-06,10.7645304910214
"seq.4481.34","C4A|C4B","C4","Complement C4","P0C0L4|P0C0L5",1.86043772955753,15.6766127937785,7.74889642765068,5.87114836067332e-09,5.81998549638745e-06,10.5002101709513
"seq.3232.28","ACP5","TrATPase","Tartrate-resistant acid phosphatase type 5","P13686",1.53644315595927,11.0313210056397,7.55649733288421,1.01013547096556e-08,8.6253112451465e-06,9.98489891829289
"seq.18340.2","PSMB4","Proteasome beta chain","Proteasome subunit beta type-4","P28070",-1.73531787060269,11.3433749536763,-7.52045798340422,1.11871741182185e-08,8.6253112451465e-06,9.8878664522492
"seq.18244.1","ANXA7","ANXA7","Annexin A7","P20073",-2.18653933967831,14.6090917957609,-7.42831930734412,1.45331870049663e-08,9.38004931478982e-06,9.63908366782927
"seq.23022.5","GDI1","RhoGDI","Rab GDP dissociation inhibitor alpha","P31150",-1.09640119713102,10.5744152617867,-7.42027522427676,1.48696559248722e-08,9.38004931478982e-06,9.61731615098672
"seq.18275.5","CRIP1","CRIP1","Cysteine-rich protein 1","P50238",2.34450318378108,11.2164753336264,7.34247805927219,1.85604296232263e-08,1.07325684296306e-05,9.40640541625426
"seq.25121.7","NOMO2","NOMO2","Nodal modulator 2","Q5JPE7",0.803748857160425,9.79345694805933,7.29161223111552,2.13148656254213e-08,1.13772194288306e-05,9.27435814503065
"seq.8859.51","CA11","CAH11","Carbonic anhydrase-related protein 11","O75493",-0.997828109404988,10.3363476343559,-7.25808465378074,2.3623732277956e-08,1.1708934162624e-05,9.17682707937508
"seq.12476.50","TIGAR","TIGAR","Fructose-2;6-bisphosphatase TIGAR","Q9NQ88",0.745439040771197,11.74866441283,7.20780305099179,2.64067538986084e-08,1.22157643534962e-05,9.06900717656198
"seq.21507.48","COMMD8","COMD8","COMM domain-containing protein 8","Q9NX08",-1.85000598203242,11.7202256313019,-7.1945488815568,2.8341680802347e-08,1.22914326929679e-05,9.00346196607991
"seq.18235.16","PGP","PGP","Glycerol-3-phosphate phosphatase","A6NDG6",1.25798216123774,10.8462585196648,7.1387491135498,3.32673835146343e-08,1.35789631887087e-05,8.85084082510005
"seq.12488.9","MCTS1","MCTS1","Malignant T-cell-amplified sequence 1","Q9ULC4",-0.902304135703661,10.6590399477986,-7.09854554276954,3.69565325211872e-08,1.42467432869177e-05,8.75005181238271
"seq.21705.33","METRNL","METRL","Meteorin-like protein","Q641Q3",1.09755896917381,9.78851715928803,6.95150831300981,5.70815711879149e-08,2.03702776026431e-05,8.3363077555575
"seq.18943.4","PTGR2","PTGR2","Prostaglandin reductase 2","Q8N8N7",-2.39670302226121,12.7521969453696,-6.9224528905971,6.20881086110972e-08,2.03702776026431e-05,8.25614466180008
"seq.12619.14","PPM1A","Protein phophatase 2Ca","Protein phosphatase 1A","P35813",-1.06645116559555,12.6146604019897,-6.9084006731014,6.28342201488688e-08,2.03702776026431e-05,8.24296293636401
"seq.12460.18","PSMA7","PSA7","Proteasome subunit alpha type-7","O14818",-2.28889701207192,13.4907378973488,-6.90884295887488,6.45836730448404e-08,2.03702776026431e-05,8.21856669674532
"seq.11241.8","ASL","ARLY","Argininosuccinate lyase","P04424",2.36867639801979,10.3528530732536,6.82995535291507,8.11826833299047e-08,2.33257893615221e-05,8.00040064457358
"seq.17736.105","APTX","APTX","Aprataxin","Q7Z2E3",-0.88648746508354,11.3705692880221,-6.8217642862145,8.13376274775739e-08,2.33257893615221e-05,7.99716846275289
"seq.11696.7","CRABP2","RABP2","Cellular retinoic acid-binding protein 2","P29373",1.8326991179756,13.7505215254739,6.81804718953523,8.40387280642821e-08,2.33257893615221e-05,7.96741700299082
"seq.19555.1","SUMO2","SUMO2","Small ubiquitin-related modifier 2","P61956",-1.78248631500467,12.418430435588,-6.80140680131398,8.82006285260167e-08,2.35393908208473e-05,7.92130376913634
"seq.6563.78","HSPA1A","HSP 70","Heat shock 70 kDa protein 1A","P0DMV8",-1.26147758833229,13.3342087831234,-6.77904678632382,9.28895905202828e-08,2.38726247637127e-05,7.87101768142318
"seq.12891.1","MICALL2","MILK2","MICAL-like protein 2","Q8IY33",-0.687884590067545,12.6349562454442,-6.71865441628608,1.09111640506306e-07,2.7040202624045e-05,7.71641245272013
"seq.15414.316","LDHA","LDHA","L-lactate dehydrogenase A chain","P00338",2.96651776022309,11.8619230283441,6.71016327694594,1.15015730290719e-07,2.75204880168034e-05,7.66800459521345
"seq.17509.6","HPD","HPPD","4-hydroxyphenylpyruvate dioxygenase","P32754",-0.950693866671811,10.692295494935,-6.69462144105731,1.20343858845841e-07,2.758353495547e-05,7.62478535735514
"seq.23923.26","PPM1F","PPM1F","Protein phosphatase 1F","P49593",1.54351491173608,9.52713609697916,6.68299163041368,1.24493268352287e-07,2.758353495547e-05,7.59243105981909
"seq.11494.4","ELL2","ELL2","RNA polymerase II elongation factor ELL2","O00472",-1.13537148306277,11.6692086144077,-6.67560174789212,1.27204657526306e-07,2.758353495547e-05,7.57186623104923
"seq.13042.7","KCNA10","KCA10","Potassium voltage-gated channel subfamily A member 10","Q16322",-1.21820827462053,13.5562401360494,-6.64039215688921,1.38886027201913e-07,2.81884468318952e-05,7.48697067318929
"seq.5452.71","ASGR1","ASGR1","Asialoglycoprotein receptor 1","P07306",0.959742992340063,11.2366181720108,6.63458860958769,1.42458340539199e-07,2.81884468318952e-05,7.4633142874902
"seq.25912.131","FKBP1A","FK506 binding protein 1A","FK506 binding protein 1A","P62942",-2.03915698176578,12.2730282215472,-6.63372174931713,1.43736604930196e-07,2.81884468318952e-05,7.45523306352567
"seq.21475.137","TXNL1","TXNL1","Thioredoxin-like protein 1","O43396",-1.0353176708771,12.4129221340766,-6.62046804903057,1.46243563330196e-07,2.81884468318952e-05,7.43722689389109
"seq.10006.25","ELK1","ELK1","ETS domain-containing protein Elk-1","P19419",-1.07380358770487,10.7880809950745,-6.61029431248951,1.53913685745214e-07,2.88650558212444e-05,7.38992486313508
"seq.8246.9","PCSK9","PCSK9","Proprotein convertase subtilisin/kexin type 9","Q8NBP7",2.26849868118543,11.8171498699174,6.59452894218098,1.61168675832957e-07,2.94302484632866e-05,7.34595055898403
"seq.21189.9","NUBP1","NUBP1","Nucleotide-binding protein 1","P53384",-0.938944189258216,11.6861020818466,-6.57868228837564,1.65728177915346e-07,2.94868673475535e-05,7.3180030978184
"seq.21430.4","PLA2G4A","cPLA2-alpha","Cytosolic phospholipase A2 alpha","P47712",-1.90701343859943,12.3473552547565,-6.51626686852657,2.02628630552018e-07,3.51510016850114e-05,7.12735881934349
"seq.3622.33","LGMN","LGMN","Legumain","Q99538",1.54129715244025,11.1522966594504,6.50082403050506,2.1200280206904e-07,3.58076604416349e-05,7.08416922552812
"seq.19338.3","LZIC","LZIC","Protein LZIC","Q8WZA0",-1.07299580556846,10.0902019663447,-6.48664709813769,2.20993181745667e-07,3.58076604416349e-05,7.04450405271152
"seq.7219.152","HSPA1A","HSP 70","Heat shock 70 kDa protein 1A","P0DMV8",-1.03552047099038,10.3722552983644,-6.48525724458503,2.21894999133924e-07,3.58076604416349e-05,7.04061461007076
"seq.13568.30","PSMD4","PSMD4","26S proteasome non-ATPase regulatory subunit 4","P55036",-0.677529553888826,10.1740669734186,-6.45173632333606,2.40533585808099e-07,3.67643320414655e-05,6.96226293783098
"seq.5628.21","SEMA3G","SEM3G","Semaphorin-3G","Q9NS98",1.67091865450436,9.82834395540192,6.45340264687278,2.4361261532545e-07,3.67643320414655e-05,6.9514314575303
"seq.6276.16","HSPA1A","HSP 70","Heat shock 70 kDa protein 1A","P0DMV8",-0.865815736254662,13.0201532629366,-6.44459143211647,2.43718010362792e-07,3.67643320414655e-05,6.94911229382896
"seq.2851.63","C5","C5a","C5a anaphylatoxin","P01031",-1.77534948027386,15.4895678947527,-6.44021225102518,2.53221539674315e-07,3.73851971021292e-05,6.91448049310836
"seq.12356.65","SRI","Sorcin","Sorcin","P30626",-1.33168640871406,10.5196293078388,-6.38529130066961,2.97515361759389e-07,4.29794159635711e-05,6.76049353836587
"seq.9926.4","S100P","S100P","Protein S100-P","P25815",-1.00447181896251,12.948168770147,-6.37011307578468,3.03500703590573e-07,4.29794159635711e-05,6.73956128909596
"seq.15447.45","SORD","Sorbitol dehydrogenase","Sorbitol dehydrogenase","Q00796",1.63403262499919,11.7117992141844,6.36429906533686,3.16440016041463e-07,4.32546742535753e-05,6.70158007630158
"seq.12370.30","APOF","Apo F","Apolipoprotein F","Q13790",3.40082554572261,11.2908802285554,6.3627201118248,3.17911570389442e-07,4.32546742535753e-05,6.69714762292
"seq.25287.7","EIF4G1","IF4G1","Eukaryotic translation initiation factor 4 gamma 1","Q04637",-1.44705235249168,11.6281574840493,-6.33776642780525,3.42104997845173e-07,4.39470409080049e-05,6.62707518371153
"seq.5437.63","FABP3","FABP","Fatty acid-binding protein; heart","P05413",1.8967290777949,13.1290469617815,6.3331189945392,3.46811665676541e-07,4.39470409080049e-05,6.61402015597989
